trade_date,equity
2019-01-02,1060432.5021094023
2019-01-03,1061388.6774082072
2019-01-04,1063540.0718305178
2019-01-07,1067842.8606751394
2019-01-08,1067364.7730257371
2019-01-09,1064257.2033046216
2019-01-10,1065452.4224281276
2019-01-11,1064496.2471293227
2019-01-14,1065213.3786034263
2019-01-15,1064018.1594799203
2019-01-16,1063779.1156552192
2019-01-17,1063779.1156552192
2019-01-18,1065213.3786034263
2019-01-21,1323663.4797991056
2019-01-22,1324858.6989151852
2019-01-23,1324858.6989151852
2019-01-24,1324858.6989151852
2019-01-25,1327249.1371473446
2019-01-28,1324858.6989151852
2019-01-29,1329639.575379504
2019-01-30,1328444.3562634243
2019-01-31,1339201.328308141
2019-02-01,1342786.9856563802
2019-02-11,1361910.4915136546
2019-02-12,1397767.0649960446
2019-02-13,1387010.0929513276
2019-02-14,1384619.6547191683
2019-02-15,1395376.6267638854
2019-02-18,1387010.0929513276
2019-02-19,1388205.3120674072
2019-02-20,1378643.55913877
2019-02-21,1381033.9973709292
2019-02-22,1412109.6943890005
2019-02-25,1408524.0370407617
2019-02-26,1388205.3120674072
2019-02-27,1385814.873835248
2019-02-28,1392986.188531726
2019-03-01,1412109.6943890005
2019-03-04,1453942.3634517887
2019-03-05,1480237.1840055413
2019-03-06,1467089.773728665
2019-03-07,1433623.6384784344
2019-03-08,1465894.5546125853
2019-03-11,1459918.459032187
2019-03-12,1441990.1722909922
2019-03-13,1447966.2678713906
2019-03-14,1447966.2678713906
2019-03-15,1449161.48698747
2019-03-18,1457528.0208000278
2019-03-19,1456332.8016839481
2019-03-20,1455137.5825678683
2019-03-21,1482627.6222377005
2019-03-22,1530436.3868808872
2019-03-25,1489798.9369341785
2019-03-26,1495775.032514577
2019-03-27,1480237.1840055413
2019-03-28,1485018.06046986
2019-03-29,1496970.2516306564
2019-04-01,1489798.9369341785
2019-04-02,1490994.1560502583
2019-04-03,1487408.4987020195
2019-04-04,1477846.745773382
2019-04-08,1483822.8413537804
2019-04-09,1480237.1840055413
2019-04-10,1467089.773728665
2019-04-11,1458723.2399161074
2019-04-12,1457528.0208000278
2019-04-15,1470675.431076904
2019-04-16,1473065.8693090633
2019-04-17,1456332.8016839481
2019-04-18,1456332.8016839481
2019-04-19,1450356.7061035498
2019-04-22,1443185.3914070718
2019-04-23,1457528.0208000278
2019-04-24,1437209.2958266735
2019-04-25,1430037.9811301953
2019-04-26,1418085.7899693989
2019-04-29,1428842.7620141157
2019-04-30,1402547.9414603633
2019-05-06,1409719.2561568413
2019-05-07,1419281.0090854785
2019-05-08,1415695.3517372394
2019-05-09,1424061.8855497972
2019-05-10,1420476.2282015583
2019-05-13,1416890.5708533193
2019-05-14,1422866.6664337176
2019-05-15,1421671.4473176377
2019-05-16,1407328.817924682
2019-05-17,1407328.817924682
2019-05-20,1408524.0370407617
2019-05-21,1402547.9414603633
2019-05-22,1391790.9694156463
2019-05-23,1390595.7502995667
2019-05-24,1404938.3796925226
2019-05-27,1398962.2841121242
2019-05-28,1396571.845879965
2019-05-29,1398962.2841121242
2019-05-30,1395376.6267638854
2019-05-31,1392986.188531726
2019-06-03,1384619.6547191683
2019-06-04,1382229.216487009
2019-06-05,1373862.6826744513
2019-06-06,1381033.9973709292
2019-06-10,1397767.0649960446
2019-06-11,1390595.7502995667
2019-06-12,1390595.7502995667
2019-06-13,1382229.216487009
2019-06-14,1381033.9973709292
2019-06-17,1379838.7782548496
2019-06-18,1384619.6547191683
2019-06-19,1390595.7502995667
2019-06-20,1392986.188531726
2019-06-21,1391790.9694156463
2019-06-24,1388205.3120674072
2019-06-25,1389400.5311834868
2019-06-26,1392986.188531726
2019-06-27,1397767.0649960446
2019-06-28,1430037.9811301953
2019-07-01,1414500.1326211598
2019-07-02,1404938.3796925226
2019-07-03,1398962.2841121242
2019-07-04,1401352.7223442835
2019-07-05,1387010.0929513276
2019-07-08,1388205.3120674072
2019-07-09,1391790.9694156463
2019-07-10,1389400.5311834868
2019-07-11,1397767.0649960446
2019-07-12,1402547.9414603633
2019-07-15,1408524.0370407617
2019-07-16,1414500.1326211598
2019-07-17,1403743.160576443
2019-07-18,1402547.9414603633
2019-07-19,1396571.845879965
2019-07-22,1398962.2841121242
2019-07-23,1404938.3796925226
2019-07-24,1416890.5708533193
2019-07-25,1414500.1326211598
2019-07-26,1419281.0090854785
2019-07-29,1414500.1326211598
2019-07-30,1406133.5988086022
2019-07-31,1409719.2561568413
2019-08-01,1398962.2841121242
2019-08-02,1388205.3120674072
2019-08-05,1375057.901790531
2019-08-06,1373862.6826744513
2019-08-07,1378643.55913877
2019-08-08,1373862.6826744513
2019-08-09,1382229.216487009
2019-08-12,1385814.873835248
2019-08-13,1403743.160576443
2019-08-14,1410914.475272921
2019-08-15,1407328.817924682
2019-08-16,1416890.5708533193
2019-08-19,1408524.0370407617
2019-08-20,1403743.160576443
2019-08-21,1406133.5988086022
2019-08-22,1400157.5032282039
2019-08-23,1390595.7502995667
2019-08-26,1396571.845879965
2019-08-27,1390595.7502995667
2019-08-28,1388205.3120674072
2019-08-29,1384619.6547191683
2019-08-30,1390595.7502995667
2019-09-02,1391790.9694156463
2019-09-03,1396571.845879965
2019-09-04,1407328.817924682
2019-09-05,1408524.0370407617
2019-09-06,1424061.8855497972
2019-09-09,1427647.542898036
2019-09-10,1449161.48698747
2019-09-11,1444380.6105231512
2019-09-12,1440794.9531749124
2019-09-16,1441990.1722909922
2019-09-17,1437209.2958266735
2019-09-18,1455137.5825678683
2019-09-19,1451551.9252196294
2019-09-20,1455137.5825678683
2019-09-23,1456332.8016839481
2019-09-24,1434818.8575945143
2019-09-25,1431233.2002462752
2019-09-26,1436014.076710594
2019-09-27,1425257.1046658768
2019-09-30,1420476.2282015583
2019-10-08,1418085.7899693989
2019-10-09,1422866.6664337176
2019-10-10,1421671.4473176377
2019-10-11,1427647.542898036
2019-10-14,1418085.7899693989
2019-10-15,1418085.7899693989
2019-10-16,1418085.7899693989
2019-10-17,1406133.5988086022
2019-10-18,1400157.5032282039
2019-10-21,1401352.7223442835
2019-10-22,1401352.7223442835
2019-10-23,1403743.160576443
2019-10-24,1403743.160576443
2019-10-25,1410914.475272921
2019-10-28,1400157.5032282039
2019-10-29,1397767.0649960446
2019-10-30,1392986.188531726
2019-10-31,1404938.3796925226
2019-11-01,1412109.6943890005
2019-11-04,1412109.6943890005
2019-11-05,1416890.5708533193
2019-11-06,1432428.4193623548
2019-11-07,1430037.9811301953
2019-11-08,1416890.5708533193
2019-11-11,1419281.0090854785
2019-11-12,1407328.817924682
2019-11-13,1422866.6664337176
2019-11-14,1415695.3517372394
2019-11-15,1420476.2282015583
2019-11-18,1419281.0090854785
2019-11-19,1415695.3517372394
2019-11-20,1415695.3517372394
2019-11-21,1415695.3517372394
2019-11-22,1428842.7620141157
2019-11-25,1446771.0487553107
2019-11-26,1444380.6105231512
2019-11-27,1446771.0487553107
2019-11-28,1458723.2399161074
2019-11-29,1451551.9252196294
2019-12-02,1458723.2399161074
2019-12-03,1470675.431076904
2019-12-04,1471870.6501929837
2019-12-05,1473065.8693090633
2019-12-06,1488603.7178180988
2019-12-09,1493384.5942824176
2019-12-10,1465894.5546125853
2019-12-11,1467089.773728665
2019-12-12,1470675.431076904
2019-12-13,1517288.976604011
2019-12-16,1531631.6059969668
2019-12-17,1530436.3868808872
2019-12-18,1529241.1677648074
2019-12-19,1519679.4148361702
2019-12-20,1524460.2913004886
2019-12-23,1534022.044229126
2019-12-24,1535217.2633452057
2019-12-25,1560316.8647828787
2019-12-26,1539998.1398095244
2019-12-27,1532826.8251130464
2019-12-30,1534022.044229126
2019-12-31,1545974.2353899227
2020-01-02,1555535.9883185602
2020-01-03,1550755.1118542415
2020-01-06,1545974.2353899227
2020-01-07,1563902.5221311175
2020-01-08,1571073.8368275957
2020-01-09,1557926.4265507194
2020-01-10,1569878.6177115159
2020-01-13,1581830.8088723128
2020-01-14,1578245.1515240734
2020-01-15,1586611.6853366313
2020-01-16,1580635.5897562332
2020-01-17,1621273.0397029417
2020-01-20,1609320.848542145
2020-01-21,1612906.5058903839
2020-01-22,1604539.972077826
2020-01-23,1543583.7971577635
2020-02-03,1587806.9044527109
2020-02-04,1594978.219149189
2020-02-05,1654739.174953172
2020-02-06,1679838.776390845
2020-02-07,1669081.804346128
2020-02-10,1657129.6131853312
2020-02-11,1663105.7087657296
2020-02-12,1678643.557274765
2020-02-13,1664300.9278818092
2020-02-14,1691790.9675516416
2020-02-17,1734818.8557305094
2020-02-18,1727647.5410340314
2020-02-19,1800555.9071148909
2020-02-20,1796970.2497666518
2020-02-21,1856731.205570635
2020-02-24,1879440.3687761487
2020-02-25,1794579.8115344928
2020-02-26,1769480.2100968198
2020-02-27,1702547.9395963585
2020-02-28,1759918.4571681824
2020-03-02,1764699.3336325008
2020-03-03,1740794.9513109077
2020-03-04,1746771.046891306
2020-03-05,1761113.676284262
2020-03-06,1710914.473408916
2020-03-09,1737209.2939626686
2020-03-10,1696571.84401596
2020-03-11,1657129.6131853312
2020-03-12,1652348.7367210127
2020-03-13,1587806.9044527109
2020-03-16,1608125.6294260651
2020-03-17,1585416.4662205516
2020-03-18,1602149.5338456668
2020-03-19,1596173.4382652687
2020-03-20,1547169.4545060024
2020-03-23,1550755.1118542415
2020-03-24,1566292.960363277
2020-03-25,1542388.5780416839
2020-03-26,1536412.4824612853
2020-03-27,1511312.8810236123
2020-03-30,1494579.8133984972
2020-03-31,1522069.8530683294
2020-04-01,1545974.2353899227
2020-04-02,1525655.5104165687
2020-04-03,1554340.7692024803
2020-04-07,1550755.1118542415
2020-04-08,1544779.016273843
2020-04-09,1526850.729532648
2020-04-10,1513703.3192557718
2020-04-13,1534022.044229126
2020-04-14,1529241.1677648074
2020-04-15,1531631.6059969668
2020-04-16,1550755.1118542415
2020-04-17,1550755.1118542415
2020-04-20,1531631.6059969668
2020-04-21,1530436.3868808872
2020-04-22,1518484.1957200905
2020-04-23,1506532.0045592939
2020-04-24,1510117.6619075327
2020-04-27,1505336.7854432142
2020-04-28,1516093.7574879313
2020-04-29,1554340.7692024803
2020-04-30,1573464.275059755
2020-05-06,1562707.303015038
2020-05-07,1566292.960363277
2020-05-08,1578245.1515240734
2020-05-11,1577049.9324079938
2020-05-12,1584221.247104472
2020-05-13,1596173.4382652687
2020-05-14,1620077.8205868618
2020-05-15,1585416.4662205516
2020-05-18,1608125.6294260651
2020-05-19,1616492.1632386227
2020-05-20,1611711.2867743042
2020-05-21,1591392.5618009497
2020-05-22,1585416.4662205516
2020-05-25,1600954.3147295872
2020-05-26,1583026.0279883922
2020-05-27,1590197.3426848701
2020-05-28,1623663.477935101
2020-05-29,1645177.4220245345
2020-06-01,1683424.4337390838
2020-06-02,1682229.2146230042
2020-06-03,1692986.1866677213
2020-06-04,1689400.5293194822
2020-06-05,1718085.7881053942
2020-06-08,1688205.3102034025
2020-06-09,1714500.1307571554
2020-06-10,1696571.84401596
2020-06-11,1688205.3102034025
2020-06-12,1665496.146997889
2020-06-15,1691790.9675516416
2020-06-16,1691790.9675516416
2020-06-17,1732428.4174983501
2020-06-18,1734818.8557305094
2020-06-19,1736014.074846589
2020-06-22,1734818.8557305094
2020-06-23,1733623.6366144298
2020-06-24,1736014.074846589
2020-06-29,1740794.9513109077
2020-06-30,1726452.3219179518
2020-07-01,1755137.5807038639
2020-07-02,1738404.5130787482
2020-07-03,1777846.7439093771
2020-07-06,1813703.3173917672
2020-07-07,1820874.632088245
2020-07-08,1820874.632088245
2020-07-09,1789798.9350701738
2020-07-10,1835217.261481201
2020-07-13,1807727.2218113688
2020-07-14,1768284.99098074
2020-07-15,1752747.1424717044
2020-07-16,1790994.1541862534
2020-07-17,1800555.9071148909
2020-07-20,1831631.604132962
2020-07-21,1834022.0423651214
2020-07-22,1802946.34534705
2020-07-23,1728842.760150111
2020-07-24,1721671.445453633
2020-07-27,1732428.4174983501
2020-07-28,1755137.5807038639
2020-07-29,1736014.074846589
2020-07-30,1747966.2660073857
2020-07-31,1757528.018936023
2020-08-03,1741990.1704269873
2020-08-04,1768284.99098074
2020-08-05,1810117.6600435283
2020-08-06,1786213.277721935
2020-08-07,1775456.305677218
2020-08-10,1745575.8277752264
2020-08-11,1751551.9233556248
2020-08-12,1747966.2660073857
2020-08-13,1751551.9233556248
2020-08-14,1794579.8115344928
2020-08-17,1805336.7835792096
2020-08-18,1780237.1821415366
2020-08-19,1773065.8674450587
2020-08-20,1782627.6203736959
2020-08-21,1808922.4409274484
2020-08-24,1790994.1541862534
2020-08-25,1769480.2100968198
2020-08-26,1794579.8115344928
2020-08-27,1807727.2218113688
2020-08-28,1845974.233525918
2020-08-31,1855535.9864545553
2020-09-01,1903344.7510977418
2020-09-02,1890197.3408208655
2020-09-03,1887806.9025887062
2020-09-04,1838802.91882944
2020-09-07,1841193.3570615994
2020-09-08,1807727.2218113688
2020-09-09,1787408.4968380146
2020-09-10,1835217.261481201
2020-09-11,1841193.3570615994
2020-09-14,1829241.1659008027
2020-09-15,1811312.879159608
2020-09-16,1811312.879159608
2020-09-17,1820874.632088245
2020-09-18,1795775.0306505722
2020-09-21,1768284.99098074
2020-09-22,1762308.8954003416
2020-09-23,1736014.074846589
2020-09-24,1732428.4174983501
2020-09-25,1732428.4174983501
2020-09-28,1747966.2660073857
2020-09-29,1734818.8557305094
2020-09-30,1775456.305677218
2020-10-09,1786213.277721935
2020-10-12,1777846.7439093771
2020-10-13,1756332.7998199433
2020-10-14,1750356.704239545
2020-10-15,1727647.5410340314
2020-10-16,1706133.5969445975
2020-10-19,1730037.979266191
2020-10-20,1725257.102801872
2020-10-21,1734818.8557305094
2020-10-22,1730037.979266191
2020-10-23,1719281.0072214738
2020-10-26,1718085.7881053942
2020-10-27,1732428.4174983501
2020-10-28,1745575.8277752264
2020-10-29,1720476.2263375535
2020-10-30,1750356.704239545
2020-11-02,1759918.4571681824
2020-11-03,1768284.99098074
2020-11-04,1777846.7439093771
2020-11-05,1795775.0306505722
2020-11-06,1812508.0982756873
2020-11-09,1839998.1379455198
2020-11-10,1811312.879159608
2020-11-11,1820874.632088245
2020-11-12,1857926.4246867145
2020-11-13,1859121.6438027944
2020-11-16,1823265.0703204044
2020-11-17,1832826.8232490418
2020-11-18,1823265.0703204044
2020-11-19,1822069.8512043247
2020-11-20,1847169.4526419975
2020-11-23,1850755.1099902368
2020-11-24,1836412.4805972807
2020-11-25,1817288.974740006
2020-11-26,1812508.0982756873
2020-11-27,1837607.6997133605
2020-11-30,1869878.6158475112
2020-12-01,1957129.6113213266
2020-12-02,1910516.0657942197
2020-12-03,1859121.6438027944
2020-12-04,1843583.7952937586
2020-12-07,1855535.9864545553
2020-12-08,1822069.8512043247
2020-12-09,1816093.7556239264
2020-12-10,1802946.34534705
2020-12-11,1832826.8232490418
2020-12-14,1850755.1099902368
2020-12-15,1828045.946784723
2020-12-16,1842388.576177679
2020-12-17,1824460.2894364842
2020-12-18,1847169.4526419975
2020-12-21,1808922.4409274484
2020-12-22,1822069.8512043247
2020-12-23,1801751.1262309705
2020-12-24,1811312.879159608
2020-12-25,1820874.632088245
2020-12-28,1800555.9071148909
2020-12-29,1829241.1659008027
2020-12-30,1845974.233525918
2020-12-31,1857926.4246867145
2021-01-04,1883026.0261243875
2021-01-05,1869878.6158475112
2021-01-06,1878245.149660069
2021-01-07,1892587.779053025
2021-01-08,1934420.448115813
2021-01-11,2027647.5391700265
2021-01-12,2104141.5625991253
2021-01-13,2087408.4949740097
2021-01-14,2113703.3155277623
2021-01-15,2205735.1874658964
2021-01-18,2085018.0567418505
2021-01-19,2088603.7140900893
2021-01-20,2171073.8330995864
2021-01-21,2187806.9007247016
2021-01-22,2132826.821385037
2021-01-25,2124460.2875724793
2021-01-26,2118484.1919920812
2021-01-27,2061113.674420257
2021-01-28,2026452.3200539472
2021-01-29,2079041.9611614523
2021-02-01,2119679.411108161
2021-02-02,2090994.152322249
2021-02-03,2123265.0684563997
2021-02-04,2010914.4715449116
2021-02-05,2032428.4156343453
2021-02-08,2083822.8376257708
2021-02-09,2090994.152322249
2021-02-10,2101751.124366966
2021-02-18,2134022.040501117
2021-02-19,2107727.219947364
2021-02-22,2079041.9611614523
2021-02-23,2039599.7303308232
2021-02-24,2020476.2244735486
2021-02-25,1983424.4318750792
2021-02-26,2013304.9097770709
2021-03-01,1996571.8421519557
2021-03-02,2027647.5391700265
2021-03-03,2034818.8538665047
2021-03-04,2068284.9891167353
2021-03-05,2082627.6185096912
2021-03-08,2026452.3200539472
2021-03-09,2082627.6185096912
2021-03-10,2067089.7700006557
2021-03-11,2116093.7537599215
2021-03-12,2143583.793429754
2021-03-15,2124460.2875724793
2021-03-16,2197368.653653339
2021-03-17,2203344.749233737
2021-03-18,2128045.944920718
2021-03-19,2223663.474207091
2021-03-22,2186611.681608622
2021-03-23,2167488.175751347
2021-03-24,2098165.4670187267
2021-03-25,2130436.383152878
2021-03-26,2094579.809670488
2021-03-29,2113703.3155277623
2021-03-30,2116093.7537599215
2021-03-31,2122069.84934032
2021-04-01,2178245.147796064
2021-04-02,2174659.4904478253
2021-04-06,2189002.119840781
2021-04-07,2157926.42282271
2021-04-08,2117288.9728760016
2021-04-09,2065894.550884576
2021-04-12,2055137.578839859
2021-04-13,2090994.152322249
2021-04-14,2087408.4949740097
2021-04-15,2076651.522929293
2021-04-16,2088603.7140900893
2021-04-19,2068284.9891167353
2021-04-20,2079041.9611614523
2021-04-21,2074261.0846971334
2021-04-22,2092189.3714383286
2021-04-23,2102946.343483045
2021-04-26,2113703.3155277623
2021-04-27,2083822.8376257708
2021-04-28,2079041.9611614523
2021-04-29,2075456.3038132135
2021-04-30,2064699.331768496
2021-05-06,2015695.34800923
2021-05-07,2020476.2244735486
2021-05-10,2030037.977402186
2021-05-11,2020476.2244735486
2021-05-12,1983424.4318750792
2021-05-13,2020476.2244735486
2021-05-14,2024061.8818217877
2021-05-17,2045575.8259112216
2021-05-18,2025257.1009378675
2021-05-19,2007328.8141966723
2021-05-20,2014500.1288931502
2021-05-21,1990595.7465715571
2021-05-24,1992986.1848037166
2021-05-25,1982229.2127589996
2021-05-26,1998962.2803841147
2021-05-27,1970277.0215982029
2021-05-28,1965496.1451338842
2021-05-31,1975057.8980625216
2021-06-01,1957129.6113213266
2021-06-02,1945177.4201605301
2021-06-03,1920077.8187228572
2021-06-04,1938006.105464052
2021-06-07,1916492.161374618
2021-06-08,1900954.3128655825
2021-06-09,1896173.4364012638
2021-06-10,1914101.7231424586
2021-06-11,1902149.5319816621
2021-06-15,1869878.6158475112
2021-06-16,1856731.205570635
2021-06-17,1908125.6275620605
2021-06-18,1900954.3128655825
2021-06-21,1926053.9143032555
2021-06-22,1922468.2569550164
2021-06-23,1934420.448115813
2021-06-24,1928444.3525354147
2021-06-25,1933225.2289997335
2021-06-28,1911711.2849102993
2021-06-29,1914101.7231424586
2021-06-30,1880635.587892228
2021-07-01,1885416.4643565468
2021-07-02,1891392.5599369453
2021-07-05,1943982.2010444503
2021-07-06,1952348.7348570079
2021-07-07,1967886.5833660436
2021-07-08,1963105.706901725
2021-07-09,1957129.6113213266
2021-07-12,1959520.049553486
2021-07-13,1977448.3362946808
2021-07-14,1958324.8304374064
2021-07-15,2000157.4995001946
2021-07-16,1985814.8701072384
2021-07-19,1979838.77452684
2021-07-20,1959520.049553486
2021-07-21,1959520.049553486
2021-07-22,1921273.0378389368
2021-07-23,1908125.6275620605
2021-07-26,1914101.7231424586
2021-07-27,1871073.834963591
2021-07-28,1879440.3687761487
2021-07-29,1883026.0261243875
2021-07-30,1917687.380490698
2021-08-02,1894978.2172851842
2021-08-03,1899759.093749503
2021-08-04,1902149.5319816621
2021-08-05,1917687.380490698
2021-08-06,1941591.762812291
2021-08-09,1936810.8863479723
2021-08-10,1928444.3525354147
2021-08-11,1918882.5996067775
2021-08-12,1900954.3128655825
2021-08-13,1910516.0657942197
2021-08-16,1883026.0261243875
2021-08-17,1886611.6834726266
2021-08-18,1885416.4643565468
2021-08-19,1868683.3967314316
2021-08-20,1869878.6158475112
2021-08-23,1854340.7673384757
2021-08-24,1856731.205570635
2021-08-25,1851950.3291063162
2021-08-26,1855535.9864545553
2021-08-27,1853145.548222396
2021-08-30,1851950.3291063162
2021-08-31,1859121.6438027944
2021-09-01,1867488.177615352
2021-09-02,1856731.205570635
2021-09-03,1845974.233525918
2021-09-06,1844779.0144098382
2021-09-07,1884221.2452404674
2021-09-08,1872269.0540796705
2021-09-09,1874659.49231183
2021-09-10,1851950.3291063162
2021-09-13,1842388.576177679
2021-09-14,1842388.576177679
2021-09-15,1822069.8512043247
2021-09-16,1796970.2497666518
2021-09-17,1783822.8394897755
2021-09-22,1783822.8394897755
2021-09-23,1768284.99098074
2021-09-24,1794579.8115344928
2021-09-27,1775456.305677218
2021-09-28,1745575.8277752264
2021-09-29,1747966.2660073857
2021-09-30,1774261.0865611383
2021-10-08,1773065.8674450587
2021-10-11,1783822.8394897755
2021-10-12,1781432.4012576162
2021-10-13,1765894.5527485807
2021-10-14,1767089.7718646603
2021-10-15,1756332.7998199433
2021-10-18,1768284.99098074
2021-10-19,1759918.4571681824
2021-10-20,1745575.8277752264
2021-10-21,1749161.4851234653
2021-10-22,1743185.3895430672
2021-10-25,1752747.1424717044
2021-10-26,1734818.8557305094
2021-10-27,1714500.1307571554
2021-10-28,1724061.8836857923
2021-10-29,1761113.676284262
2021-11-01,1732428.4174983501
2021-11-02,1745575.8277752264
2021-11-03,1746771.046891306
2021-11-04,1739599.7321948279
2021-11-05,1738404.5130787482
2021-11-08,1744380.6086591468
2021-11-09,1755137.5807038639
2021-11-10,1768284.99098074
2021-11-11,1763504.1145164212
2021-11-12,1767089.7718646603
2021-11-15,1779041.9630254568
2021-11-16,1767089.7718646603
2021-11-17,1752747.1424717044
2021-11-18,1759918.4571681824
2021-11-19,1768284.99098074
2021-11-22,1764699.3336325008
2021-11-23,1764699.3336325008
2021-11-24,1753942.3615877838
2021-11-25,1738404.5130787482
2021-11-26,1731233.1983822705
2021-11-29,1733623.6366144298
2021-11-30,1734818.8557305094
2021-12-01,1727647.5410340314
2021-12-02,1730037.979266191
2021-12-03,1728842.760150111
2021-12-06,1728842.760150111
2021-12-07,1736014.074846589
2021-12-08,1774261.0865611383
2021-12-09,1776651.5247932975
2021-12-10,1780237.1821415366
2021-12-13,1765894.5527485807
2021-12-14,1765894.5527485807
2021-12-15,1765894.5527485807
2021-12-16,1753942.3615877838
2021-12-17,1741990.1704269873
2021-12-20,1745575.8277752264
2021-12-21,1746771.046891306
2021-12-22,1744380.6086591468
2021-12-23,1734818.8557305094
2021-12-24,1738404.5130787482
2021-12-27,1740794.9513109077
2021-12-28,1732428.4174983501
2021-12-29,1740794.9513109077
2021-12-30,1737209.2939626686
2021-12-31,1745575.8277752264
2022-01-04,1756332.7998199433
2022-01-05,1750356.704239545
2022-01-06,1758723.2380521027
2022-01-07,1767089.7718646603
2022-01-10,1751551.9233556248
2022-01-11,1755137.5807038639
2022-01-12,1747966.2660073857
2022-01-13,1736014.074846589
2022-01-14,1738404.5130787482
2022-01-17,1739599.7321948279
2022-01-18,1732428.4174983501
2022-01-19,1730037.979266191
2022-01-20,1726452.3219179518
2022-01-21,1716890.5689893144
2022-01-24,1688205.3102034025
2022-01-25,1691790.9675516416
2022-01-26,1665496.146997889
2022-01-27,1670277.0234622075
2022-01-28,1687010.0910873227
2022-02-07,1698962.2822481194
2022-02-08,1706133.5969445975
2022-02-09,1707328.8160606772
2022-02-10,1697767.0631320397
2022-02-11,1688205.3102034025
2022-02-14,1685814.8719712433
2022-02-15,1691790.9675516416
2022-02-16,1679838.776390845
2022-02-17,1684619.6528551637
2022-02-18,1695376.6248998805
2022-02-21,1682229.2146230042
2022-02-22,1694181.4057838009
2022-02-23,1671472.2425782874
2022-02-24,1673862.6808104466
2022-02-25,1664300.9278818092
2022-02-28,1665496.146997889
2022-03-01,1661910.48964965
2022-03-02,1660715.2705335703
2022-03-03,1643982.202908455
2022-03-04,1620077.8205868618
2022-03-07,1602149.5338456668
2022-03-08,1596173.4382652687
2022-03-09,1609320.848542145
2022-03-10,1610516.0676582246
2022-03-11,1599759.0956135076
2022-03-14,1561512.0838989583
2022-03-15,1579440.3706401533
2022-03-16,1580635.5897562332
2022-03-17,1583026.0279883922
2022-03-18,1596173.4382652687
2022-03-21,1594978.219149189
2022-03-22,1596173.4382652687
2022-03-23,1589002.1235687905
2022-03-24,1581830.8088723128
2022-03-25,1591392.5618009497
2022-03-28,1581830.8088723128
2022-03-29,1592587.7809170296
2022-03-30,1586611.6853366313
2022-03-31,1584221.247104472
2022-04-01,1589002.1235687905
2022-04-06,1574659.4941758346
2022-04-07,1583026.0279883922
2022-04-08,1567488.1794793566
2022-04-11,1578245.1515240734
2022-04-12,1569878.6177115159
2022-04-13,1573464.275059755
2022-04-14,1568683.3985954362
2022-04-15,1568683.3985954362
2022-04-18,1562707.303015038
2022-04-19,1559121.645666799
