trade_date,equity
2019-01-02,1060420.3881721871
2019-01-03,1063488.9409469424
2019-01-04,1063423.6525900327
2019-01-07,1062901.3457347553
2019-01-08,1064729.4197282263
2019-01-09,1065774.0334387813
2019-01-10,1066426.9170078782
2019-01-11,1065839.321795691
2019-01-14,1066688.0704355168
2019-01-15,1068254.9910013494
2019-01-16,1066753.3587924265
2019-01-17,1067928.5492168008
2019-01-18,1067340.9540046137
2019-01-21,1334674.0452364432
2019-01-22,1336959.1377140842
2019-01-23,1342508.6480169264
2019-01-24,1358177.8535778923
2019-01-25,1356219.2028827716
2019-01-28,1358177.8535778923
2019-01-29,1356545.6446652915
2019-01-30,1361442.2714030936
2019-01-31,1364706.6892282949
2019-02-01,1365033.131010815
2019-02-11,1364380.2474457747
2019-02-12,1370582.6413136572
2019-02-13,1366338.8981408954
2019-02-14,1356545.6446652915
2019-02-15,1369929.7577486169
2019-02-18,1366991.7817059357
2019-02-19,1371561.9666612174
2019-02-20,1369929.7577486169
2019-02-21,1375805.7098339791
2019-02-22,1408776.3298685118
2019-02-25,1397350.8674803074
2019-02-26,1403879.70313071
2019-02-27,1402573.9360006293
2019-02-28,1415631.6073014343
2019-03-01,1423139.7682993973
2019-03-04,1425424.8607770381
2019-03-05,1426077.7443420785
2019-03-06,1414978.7237363942
2019-03-07,1400615.2853055086
2019-03-08,1401268.168870549
2019-03-11,1402573.9360006293
2019-03-12,1402900.3777831495
2019-03-13,1404859.0284782702
2019-03-14,1407144.120955911
2019-03-15,1420528.2340392363
2019-03-18,1416610.9326489947
2019-03-19,1415305.1655189143
2019-03-20,1413346.5148237934
2019-03-21,1410082.0969985924
2019-03-22,1394412.8914376262
2019-03-25,1394086.449655106
2019-03-26,1403226.8195656696
2019-03-27,1398003.7510453477
2019-03-28,1417590.2579965552
2019-03-29,1429342.1621672795
2019-04-01,1435218.1142526418
2019-04-02,1437829.6485128028
2019-04-03,1451540.203378648
2019-04-04,1454804.6212038496
2019-04-08,1449907.9944660475
2019-04-09,1447296.4602058865
2019-04-10,1441094.066338004
2019-04-11,1437176.7649477627
2019-04-12,1445990.6930758061
2019-04-15,1475044.0117200972
2019-04-16,1467535.8507221343
2019-04-17,1467209.4089396142
2019-04-18,1479940.6384578992
2019-04-19,1461007.0150717318
2019-04-22,1458395.4808115708
2019-04-23,1470473.8267648155
2019-04-24,1460354.1315066917
2019-04-25,1449255.1109010072
2019-04-26,1459374.8061591312
2019-04-29,1451213.7615961279
2019-04-30,1419222.4669091557
2019-05-06,1421834.0011693167
2019-05-07,1410408.5387811125
