trade_date,equity
2019-01-02,1057268.9839231903
2019-01-03,1058557.3274814724
2019-01-04,1061072.6649047853
2019-01-07,1060704.566745276
2019-01-08,1060765.9164385276
2019-01-09,1061226.039137914
2019-01-10,1062575.732389448
2019-01-11,1061287.3888311656
2019-01-14,1062851.8060090798
2019-01-15,1061962.2354569326
2019-01-16,1061041.9900581595
2019-01-17,1060949.9655182823
2019-01-18,1064201.4992606135
2019-01-21,1311685.400858913
2019-01-22,1311838.7750910888
2019-01-23,1310611.781233682
2019-01-24,1309844.9100728026
2019-01-25,1308617.9162153958
2019-01-28,1304630.1861788232
2019-01-29,1300489.081910075
2019-01-30,1306624.0511971095
2019-01-31,1311225.2781623856
2019-02-01,1318280.4928424754
2019-02-11,1321194.6032538167
2019-02-12,1350182.3331350556
2019-02-13,1348648.5908132968
2019-02-14,1350949.2042959349
2019-02-15,1368433.8667639839
2019-02-18,1367206.8729065768
2019-02-19,1366286.6275135216
2019-02-20,1386378.65192856
2019-02-21,1425182.3326690544
2019-02-22,1463065.7680164934
2019-02-25,1456777.424497283
2019-02-26,1449875.584049369
2019-02-27,1455243.6821755243
2019-02-28,1454170.0625502933
2019-03-01,1463065.7680164934
2019-03-04,1483617.9151280597
2019-03-05,1478249.8170019044
2019-03-06,1464446.1361060762
2019-03-07,1446194.6024771482
2019-03-08,1464446.1361060762
2019-03-11,1475028.958126211
2019-03-12,1438065.7681718273
2019-03-13,1431470.676188265
2019-03-14,1433464.5412065513
2019-03-15,1445887.8540127964
2019-03-18,1443433.8662979826
2019-03-19,1442666.9951371034
2019-03-20,1441440.0012796964
2019-03-21,1431010.5534917372
2019-03-22,1432697.670045672
2019-03-25,1414292.762184568
2019-03-26,1407237.5475044781
2019-03-27,1448188.4674954345
2019-03-28,1446041.2282449724
2019-03-29,1458311.1668190416
2019-04-01,1456777.424497283
2019-04-02,1456010.5533364038
2019-04-03,1458004.41835469
2019-04-04,1446654.725173676
2019-04-08,1461378.651462559
2019-04-09,1481317.3016454217
2019-04-10,1464292.7618739004
2019-04-11,1462298.8968556141
2019-04-12,1465979.8784278352
2019-04-15,1512759.019241474
2019-04-16,1520887.8535467952
2019-04-17,1521041.2277789712
2019-04-18,1557851.0435011792
2019-04-19,1561992.1477699275
2019-04-22,1543127.117212296
2019-04-23,1535305.0313713267
2019-04-24,1514292.761563233
2019-04-25,1522268.2216363782
2019-04-26,1517360.2462067504
2019-04-29,1491286.626736853
2019-04-30,1442053.4982083999
2019-05-06,1443127.1178336309
2019-05-07,1441286.6270475206
2019-05-08,1432237.5473491442
2019-05-09,1471808.0992505178
2019-05-10,1461532.0256947349
2019-05-13,1457544.2956581623
2019-05-14,1466133.252660011
2019-05-15,1452482.9459963588
2019-05-16,1435305.0319926618
2019-05-17,1426102.5780621096
2019-05-20,1446041.2282449724
2019-05-21,1450335.7067458965
2019-05-22,1431317.301956089
2019-05-23,1431470.676188265
2019-05-24,1447421.5963345552
2019-05-27,1447574.970566731
2019-05-28,1445427.731316269
2019-05-29,1433464.5412065513
2019-05-30,1439292.7620292343
2019-05-31,1462759.019552142
2019-06-03,1465979.8784278352
2019-06-04,1490366.3813437978
2019-06-05,1454936.9337111725
2019-06-06,1473955.33850098
2019-06-10,1483157.7924315322
2019-06-11,1480857.1789488941
2019-06-12,1477022.8231444973
2019-06-13,1462605.645319966
2019-06-14,1457084.1729616348
2019-06-17,1458311.1668190416
2019-06-18,1473188.4673401008
2019-06-19,1488525.8905576873
2019-06-20,1487912.3936289838
2019-06-21,1478249.8170019044
2019-06-24,1482544.2955028287
2019-06-25,1481010.55318107
2019-06-26,1501409.3260604604
2019-06-27,1497114.8475595359
2019-06-28,1518127.1173676297
2019-07-01,1520887.8535467952
2019-07-02,1507390.921115319
2019-07-03,1508004.4180440225
2019-07-04,1508617.9149727258
2019-07-05,1492973.7432907876
2019-07-08,1491746.7494333806
2019-07-09,1495734.479469953
2019-07-10,1489906.2586472703
2019-07-11,1492053.4978977325
2019-07-12,1502329.5714535154
2019-07-15,1503249.8168465707
2019-07-16,1496808.0990951841
2019-07-17,1479170.0623949594
2019-07-18,1477022.8231444973
2019-07-19,1477943.0685375528
2019-07-22,1482390.9212706527
2019-07-23,1499875.5837387014
2019-07-24,1506624.0499544397
2019-07-25,1510458.4057588363
2019-07-26,1509538.1603657813
2019-07-29,1509384.7861336053
2019-07-30,1503096.4426143947
2019-07-31,1500182.3322030532
2019-08-01,1479783.559323663
2019-08-02,1475642.4550549146
2019-08-05,1465979.8784278352
2019-08-06,1460918.5287660314
2019-08-07,1461992.1483912624
2019-08-08,1426102.5780621096
2019-08-09,1439139.3877970583
2019-08-12,1432544.2958134962
2019-08-13,1437912.3939396513
2019-08-14,1433311.1669743755
2019-08-15,1430397.0565630337
2019-08-16,1457697.6698903383
2019-08-19,1456010.5533364038
2019-08-20,1460305.0318373279
2019-08-21,1453556.5656215898
2019-08-22,1446654.725173676
2019-08-23,1440673.130118817
2019-08-26,1453863.3140859415
2019-08-27,1455090.3079433483
2019-08-28,1445734.4797806207
2019-08-29,1440059.6331901136
2019-08-30,1448495.2159597862
2019-09-02,1455703.8048720518
2019-09-03,1452176.197532007
2019-09-04,1468280.491910473
2019-09-05,1511838.773848419
2019-09-06,1563219.1416273345
2019-09-09,1564599.5097169173
2019-09-10,1542053.4975870647
2019-09-11,1546347.9760879893
2019-09-12,1539446.1356400752
2019-09-16,1525795.828976423
2019-09-17,1519967.60815374
2019-09-18,1534998.2829069751
2019-09-19,1525795.828976423
2019-09-20,1514906.2584919366
2019-09-23,1527789.6939947093
2019-09-24,1517820.368903278
2019-09-25,1498341.841416943
2019-09-26,1507390.921115319
2019-09-27,1489139.3874863908
2019-09-30,1486071.9028428735
2019-10-08,1491286.626736853
2019-10-09,1502329.5714535154
2019-10-10,1502789.694150043
2019-10-11,1503709.9395430982
2019-10-14,1489752.8844150943
2019-10-15,1489139.3874863908
2019-10-16,1491440.0009690288
2019-10-17,1497114.8475595359
2019-10-18,1488679.2647898633
2019-10-21,1491440.0009690288
2019-10-22,1493893.9886838428
2019-10-23,1492053.4978977325
2019-10-24,1509691.534597957
2019-10-25,1514139.3873310573
2019-10-28,1515673.1296528159
2019-10-29,1507851.0438118465
2019-10-30,1510458.4057588363
2019-10-31,1519660.8596893884
2019-11-01,1527022.82283383
2019-11-04,1523341.841261609
2019-11-05,1507697.6695796708
2019-11-06,1509384.7861336053
2019-11-07,1502022.8229891637
2019-11-08,1494660.859844722
2019-11-11,1496501.3506308324
2019-11-12,1497574.9702560636
2019-11-13,1500795.829131757
2019-11-14,1478863.3139306079
2019-11-15,1479170.0623949594
2019-11-18,1487298.8967002805
2019-11-19,1479170.0623949594
2019-11-20,1475028.958126211
2019-11-21,1469047.3630713522
2019-11-22,1464599.5103382522
2019-11-25,1464446.1361060762
2019-11-26,1465366.3814991317
2019-11-27,1468280.491910473
2019-11-28,1469200.7373035282
2019-11-29,1467053.498053066
2019-12-02,1468587.2403748247
2019-12-03,1476409.3262157938
2019-12-04,1488219.1420933357
2019-12-05,1487605.6451646322
2019-12-06,1482851.0439671804
2019-12-09,1490213.007111622
2019-12-10,1486685.399771577
2019-12-11,1502022.8229891637
2019-12-12,1507390.921115319
2019-12-13,1512759.019241474
2019-12-16,1513372.5161701778
2019-12-17,1523495.215493785
2019-12-18,1527176.1970660058
2019-12-19,1509998.2830623086
2019-12-20,1492973.7432907876
2019-12-23,1506163.927257912
2019-12-24,1515826.5038849916
2019-12-25,1518127.1173676297
2019-12-26,1514139.3873310573
2019-12-27,1525028.9578155437
2019-12-30,1540979.877961834
2019-12-31,1541900.123354889
2020-01-02,1558771.2888942342
2020-01-03,1561071.9023768725
2020-01-06,1559538.1600551137
2020-01-07,1545887.8533914615
2020-01-08,1565979.8778065
2020-01-09,1571194.6017004796
2020-01-10,1580397.0556310315
2020-01-13,1561225.2766090482
2020-01-14,1564446.1354847415
2020-01-15,1571961.472861359
2020-01-16,1593893.988062508
2020-01-17,1612605.6443879637
2020-01-20,1590366.3807224627
2020-01-21,1621654.7240863396
2020-01-22,1598955.3377243113
2020-01-23,1548955.3380349788
2020-02-03,1586685.399150242
2020-02-04,1584078.0372032523
2020-02-05,1599722.2088851908
2020-02-06,1595274.3561520907
