trade_date,equity
2019-01-02,1061835.9920879246
2019-01-03,1062696.3694464152
2019-01-04,1064507.690201132
2019-01-07,1063783.1618992453
2019-01-08,1063239.7656728302
2019-01-09,1063285.0486916981
2019-01-10,1063828.4449181133
2019-01-11,1063194.4826539622
2019-01-14,1064100.1430313208
2019-01-15,1063647.3128426415
2019-01-16,1062786.935484151
2019-01-17,1063285.0486916981
2019-01-18,1063919.0109558492
2019-01-21,1315499.4009608557
2019-01-22,1315272.9858679227
2019-01-23,1317989.9669831167
2019-01-24,1317537.1367972512
2019-01-25,1319122.0424477807
2019-01-28,1313008.8349385946
2019-01-29,1313008.8349385946
2019-01-30,1313235.2500315274
2019-01-31,1319122.0424477807
2019-02-01,1324103.174492303
2019-02-11,1327046.5707004298
2019-02-12,1336103.1744177428
2019-02-13,1335876.75932481
2019-02-14,1331574.8725590862
2019-02-15,1342895.6272057276
2019-02-18,1343348.4573915934
2019-02-19,1342669.2121127946
2019-02-20,1340857.891369332
2019-02-21,1346065.4385067872
2019-02-22,1367122.04214954
2019-02-25,1363272.985569682
2019-02-26,1365084.3063131445
2019-02-27,1365989.966684876
2019-02-28,1366442.7968707415
2019-03-01,1373688.079844592
2019-03-04,1377763.551517383
2019-03-05,1375952.2307739202
2019-03-06,1374140.9100304577
2019-03-07,1357386.1931534284
2019-03-08,1376857.8911456515
2019-03-11,1385008.8344912333
2019-03-12,1385914.4948629646
2019-03-13,1375952.2307739202
2019-03-14,1378216.3817032487
2019-03-15,1382971.0986548378
2019-03-18,1394971.0985802778
2019-03-19,1387046.5703276289
2019-03-20,1386140.9099558974
2019-03-21,1387952.2306993601
2019-03-22,1406291.8532269192
2019-03-25,1383423.9288407036
2019-03-26,1375952.2307739202
2019-03-27,1372329.5892869951
2019-03-28,1384782.4193983006
2019-03-29,1394971.0985802778
2019-04-01,1394744.683487345
2019-04-02,1397008.834416673
2019-04-03,1398820.1551601358
2019-04-04,1393159.7778368152
2019-04-08,1393159.7778368152
2019-04-09,1387952.2306993601
2019-04-10,1384103.174119502
2019-04-11,1382065.4382831065
2019-04-12,1382065.4382831065
2019-04-15,1388178.645792293
2019-04-16,1393612.6080226807
2019-04-17,1390669.211814554
2019-04-18,1389084.3061640242
2019-04-19,1386140.9099558974
2019-04-22,1376857.8911456515
2019-04-23,1380480.5326325768
2019-04-24,1366442.7968707415
2019-04-25,1364631.476127279
2019-04-26,1357159.7780604956
2019-04-29,1359197.5138968911
2019-04-30,1334518.268767213
2019-05-06,1336782.4196965413
2019-05-07,1338367.325347071
2019-05-08,1340405.0611834666
2019-05-09,1355801.2875028988
2019-05-10,1349688.0799937125
2019-05-13,1349008.834714914
2019-05-14,1350367.3252725108
2019-05-15,1363046.5704767492
2019-05-16,1356933.3629675629
2019-05-17,1367122.04214954
2019-05-20,1366895.6270566073
2019-05-21,1363046.5704767492
2019-05-22,1358744.6837110254
2019-05-23,1346971.0988785184
2019-05-24,1355348.457317033
2019-05-27,1357612.6082463614
2019-05-28,1354216.3818523688
2019-05-29,1348329.5894361152
2019-05-30,1354216.3818523688
2019-05-31,1347423.9290643842
2019-06-03,1341084.306462265
2019-06-04,1339952.2309976008
2019-06-05,1337008.834789474
2019-06-06,1339046.5706258696
2019-06-10,1348782.4196219812
2019-06-11,1346744.6837855857
2019-06-12,1345612.6083209214
2019-06-13,1343348.4573915934
2019-06-14,1341763.5517410634
2019-06-17,1340405.0611834666
2019-06-18,1344480.5328562574
2019-06-19,1349688.0799937125
2019-06-20,1355122.0422241003
2019-06-21,1356480.532781697
2019-06-24,1356480.532781697
2019-06-25,1359197.5138968911
