trade_date,rsi,ipv,entropy,coherence,clarity,mts
2019-01-02,0.0,0.0,0.9999999962133496,0.5,0.5,
2019-01-03,0.0,0.0,0.9999999962133496,0.5,0.5,
2019-01-04,0.0,0.0,0.9999999962133496,0.5,0.5,
2019-01-07,0.0,0.0,0.9999999962133496,0.5,0.5,
2019-01-08,0.0,0.0,0.9999999962133496,0.5,0.5,
2019-01-09,0.0,0.0,0.9999999962133496,0.5,0.9855460336332221,
2019-01-10,0.0,0.0,0.9999999962133496,0.5,0.9828059228086885,
2019-01-11,0.0,0.0,0.9999999962133496,0.5,0.9914898730813508,
2019-01-14,0.0,0.0,0.9999999962133496,0.5,0.9895932182191978,
2019-01-15,0.0,0.0,0.9999999962133496,0.5,0.9893700248392555,0.19787400496785112
2019-01-16,0.0,0.0,0.9999999962133496,0.5,0.99011985612379,0.198023971224758
2019-01-17,0.0,0.0,0.9999999962133496,0.5,0.9874934419148672,0.19749868838297346
2019-01-18,0.0,0.0,0.9999999962133496,0.5,0.9806076400134912,0.19612152800269825
2019-01-21,0.0,0.0,6.213349207785887e-09,0.5,0.9816993204403849,0.196339864088077
2019-01-22,0.0,0.0,6.213349207785887e-09,0.5,0.9805491682737963,0.19610983365475929
2019-01-23,0.0,0.0,6.213349207785887e-09,0.5,0.9810428075512565,0.19620856151025132
2019-01-24,0.0,0.0,6.213349207785887e-09,0.5,0.9835885051651668,0.19671770103303338
2019-01-25,0.0,0.0,6.213349207785887e-09,0.5,0.9854907346589287,0.19709814693178573
2019-01-28,0.0,0.0,6.213349207785887e-09,0.5,0.9857710030630239,0.1971542006126048
2019-01-29,0.0,0.0,6.213349207785887e-09,0.5,0.983440714434012,0.19668814288680242
2019-01-30,0.0,0.0,6.213349207785887e-09,0.7648220194986748,0.9856724517663079,0.3560277020524665
2019-01-31,0.0,0.0,6.213349207785887e-09,0.7739260601612045,0.986935783711716,0.36174279283906585
2019-02-01,0.0,0.0,6.213349207785887e-09,0.7740566196183133,0.9855557931640857,0.3615451304038051
2019-02-11,0.0,0.0,6.213349207785887e-09,0.7673665846609524,0.9858211827560531,0.3575841873477821
2019-02-12,0.0,0.0,6.213349207785887e-09,0.7553888241186898,0.9880587014505992,0.3508450347613337
2019-02-13,0.0,0.0,6.213349207785887e-09,0.7652383477190865,0.9878329709186068,0.3567096028151733
2019-02-14,0.0,0.0,6.213349207785887e-09,0.7455845334140081,0.9899877881189775,0.34534827767220033
2019-02-15,0.0,0.0,6.213349207785887e-09,0.7210961020347881,0.9831492339709463,0.3292875080150621
2019-02-18,0.0,0.0,6.213349207785887e-09,0.7370689962570586,0.9775368888168775,0.3377487755176106
2019-02-19,0.0,0.0,6.213349207785887e-09,0.7358416628185525,0.9777383319863941,0.3370526640884103
2019-02-20,0.0,0.0,6.213349207785887e-09,0.7386236777143003,0.9759098138084309,0.33835616939026636
2019-02-21,0.0,0.0,6.213349207785887e-09,0.7262512572515796,0.9738578881965071,0.33052233199024916
2019-02-22,0.0,0.0,6.213349207785887e-09,0.7134594673898356,0.9794904655310447,0.32397377354011025
2019-02-25,0.0,0.0,6.213349207785887e-09,0.7041813389321318,0.9703772522927,0.3165842538178191
2019-02-26,0.0,0.0,6.213349207785887e-09,0.710721525430466,0.9678300605817265,0.3199989273746249
2019-02-27,0.0,0.0,6.213349207785887e-09,0.7002692541903127,0.9690191158806726,0.3139653756903222
2019-02-28,0.0,0.0,6.213349207785887e-09,0.7076605919169362,0.9727461832400828,0.31914559179817825
2019-03-01,0.0,0.0,6.213349207785887e-09,0.702446351180637,0.9726746595909389,0.31600274262657
2019-03-04,0.0,0.0,6.213349207785887e-09,0.7202403725244149,0.9769889024404276,0.3275420040027345
2019-03-05,0.0,0.0,6.213349207785887e-09,0.7289655193597054,0.9839985362361964,0.33417901886306256
2019-03-06,0.0,0.0,6.213349207785887e-09,0.7190808341355993,0.9788282491573853,0.3272141503128366
2019-03-07,0.0,0.0,6.213349207785887e-09,0.7195792628612456,0.9717411119233571,0.3260957801014188
2019-03-08,0.0,0.0,6.213349207785887e-09,0.691115350256043,0.9672606694474624,0.30812134404311825
2019-03-11,0.0,0.0,6.213349207785887e-09,0.702869876394737,0.9791421087680943,0.317550347590461
2019-03-12,0.0,0.0,6.213349207785887e-09,0.6960041268492219,0.9812113273987122,0.31384474158927556
2019-03-13,0.0,0.0,6.213349207785887e-09,0.7112077090414343,0.9767719583608346,0.32207901709702746
2019-03-14,0.0,0.0,6.213349207785887e-09,0.7200334890333373,0.9793068245972334,0.32788145833944904
2019-03-15,0.0,0.0,6.213349207785887e-09,0.6922064899315203,0.986710282825064,0.312665950523925
2019-03-18,0.0,0.0,6.213349207785887e-09,0.7156128521097009,0.977555750363843,0.3248788613385892
2019-03-19,0.0,0.0,6.213349207785887e-09,0.7284758763785517,0.976194668367319,0.33232445950059486
2019-03-20,0.0,0.0,6.213349207785887e-09,0.7378015257089116,0.976195305158857,0.33791997645711835
2019-03-21,0.0,0.0,6.213349207785887e-09,0.7473198226580364,0.9790993526014738,0.34421176411511667
2019-03-22,0.0,0.0,6.213349207785887e-09,0.7136499429651594,0.9765792208184101,0.32350580994277767
2019-03-25,0.0,0.0,6.213349207785887e-09,0.6893627200125918,0.9821129767261435,0.3100402273527838
2019-03-26,0.0,0.0,6.213349207785887e-09,0.668135012387921,0.9811889868670324,0.29711880480615904
2019-03-27,0.0,0.0,6.213349207785887e-09,0.6909217089080911,0.9782712954508558,0.3102072844350259
