trade_date,equity
2019-01-02,1058952.5782572997
2019-01-03,1060253.3466436884
2019-01-04,1060253.3466436884
2019-01-07,1060039.2961497256
2019-01-08,1063562.8965888035
2019-01-09,1064040.3938445665
2019-01-10,1064945.9920882548
2019-01-11,1064303.8406063667
2019-01-14,1066855.9811113062
2019-01-15,1067185.2895635567
2019-01-16,1066707.7923077936
2019-01-17,1068634.2467534577
2019-01-18,1068650.7121760703
2019-01-21,1336382.1496589195
2019-01-22,1337699.3834597361
2019-01-23,1338769.6359229
2019-01-24,1341321.776411982
2019-01-25,1340827.8137366758
2019-01-28,1350377.7587925966
2019-01-29,1342968.318663003
2019-01-30,1354741.0957578018
2019-01-31,1360750.9749740278
2019-02-01,1375734.5094583174
2019-02-11,1379109.92107291
2019-02-12,1381662.0615619924
2019-02-13,1384543.5105012788
2019-02-14,1369066.013341683
2019-02-15,1378368.9770599508
2019-02-18,1375734.5094583174
2019-02-19,1375734.5094583174
2019-02-20,1373923.3129821946
2019-02-21,1371865.1351684185
2019-02-22,1401173.5872365893
2019-02-25,1386272.3798648508
2019-02-26,1388577.5390162799
2019-02-27,1389730.1185919945
2019-02-28,1396233.9604835268
2019-03-01,1399444.7178730173
2019-03-04,1399774.0263232216
2019-03-05,1400597.297448732
2019-03-06,1387918.9221158717
2019-03-07,1373429.350306888
2019-03-08,1379850.8650858696
2019-03-11,1376393.1263587256
2019-03-12,1376969.4161465832
2019-03-13,1378451.304172502
2019-03-14,1390965.02528026
2019-03-15,1402408.4939248548
2019-03-18,1401832.2041369975
2019-03-19,1398950.755197711
2019-03-20,1393517.1657693423
2019-03-21,1396480.9418211798
2019-03-22,1380756.463323931
2019-03-25,1379768.5379733185
2019-03-26,1388001.2492284225
2019-03-27,1384461.183388728
2019-03-28,1397551.1942843434
2019-03-29,1432128.581555781
2019-04-01,1423648.8889630237
2019-04-02,1426118.702339555
2019-04-03,1438056.133659456
2019-04-04,1442419.470624661
2019-04-08,1449252.6209663975
2019-04-09,1446865.1347024173
2019-04-10,1428094.5530407797
2019-04-11,1418626.93509741
2019-04-12,1420355.8044609819
2019-04-15,1431716.9459930258
2019-04-16,1432704.8713436383
2019-04-17,1436162.610070782
2019-04-18,1449828.9107542548
2019-04-19,1430976.0019800663
2019-04-22,1426694.9921274122
2019-04-23,1429411.7868415965
2019-04-24,1419614.8604480226
2019-04-25,1402820.1294876102
2019-04-26,1418791.589322512
2019-04-29,1427765.2445905758
2019-04-30,1400350.316111079
2019-05-06,1414181.2710196539
2019-05-07,1414181.2710196539
2019-05-08,1414181.2710196539
2019-05-09,1414181.2710196539
2019-05-10,1414181.2710196539
2019-05-13,1414181.2710196539
2019-05-14,1414181.2710196539
2019-05-15,1414181.2710196539
2019-05-16,1414181.2710196539
2019-05-17,1414181.2710196539
2019-05-20,1414181.2710196539
2019-05-21,1419614.8604480226
2019-05-22,1403972.7090633246
2019-05-23,1406524.849552407
2019-05-24,1405948.5597645496
2019-05-27,1412205.420318429
2019-05-28,1411135.1678552653
2019-05-29,1403478.7463880186
2019-05-30,1404713.653076284
2019-05-31,1408994.6629289382
2019-06-03,1405536.9242017944
2019-06-04,1403972.7090633246
2019-06-05,1400761.9516738341
2019-06-06,1406030.8868771007
2019-06-10,1420108.8231233289
2019-06-11,1420438.131573533
2019-06-12,1416486.430171083
2019-06-13,1412699.3829937351
2019-06-14,1414510.579469858
2019-06-17,1415498.5048204705
2019-06-18,1424554.487201085
2019-06-19,1435092.3576076184
2019-06-20,1425377.7583265954
2019-06-21,1425954.0481144527
