trade_date,0
2020-01-02,1060792.9996633788
2020-01-03,1060401.7726331477
2020-01-06,1060686.3013824066
2020-01-07,1058943.562793195
2020-01-08,1059405.922010741
2020-01-09,1059050.2610741672
2020-01-10,1060117.2438838887
2020-01-13,1059299.2237297688
2020-01-14,1058445.6374819917
2020-01-15,1057769.8817025016
2020-01-16,1057983.2782644457
2020-01-17,1058196.67482639
2020-01-20,1109080.6215226627
2020-01-21,1109697.44447591
2020-01-22,1054433.8758493394
2020-01-23,1048921.1313324454
2020-02-03,1051090.6630455456
2020-02-04,1051197.3613265178
2020-02-05,1051695.2866377211
2020-02-06,1051161.7952328604
2020-02-07,1050735.0021089718
2020-02-10,1051766.418825036
2020-02-11,1051695.2866377211
2020-02-12,1051268.4935138326
2020-02-13,1052620.005072813
2020-02-14,1053829.2522571639
2020-02-17,1053224.6286649883
2020-02-18,1053366.893039618
2020-02-19,1054611.7063176262
2020-02-20,1054576.1402239688
2020-02-21,1053331.3269459605
2020-02-24,1052655.5711664704
2020-02-25,1052477.7406981834
2020-02-26,1052904.533822072
2020-02-27,1050735.0021089718
2020-02-28,1110770.293349479
2020-03-02,1050918.5970214556
2020-03-03,1050811.8987404834
2020-03-04,1053301.5252965002
2020-03-05,1052021.1459248345
2020-03-06,1049958.3124927063
2020-03-09,1051060.8613960852
2020-03-10,1097597.5141726453
2020-03-11,1097529.9372954075
2020-03-12,1049734.0511865763
2020-03-13,1046995.461974958
2020-03-16,1045786.214790607
2020-03-17,1043296.5882345905
2020-03-18,1041589.4157390362
2020-03-19,1042620.8324551003
2020-03-20,1041304.8869897772
2020-03-23,1042940.9272980166
2020-03-24,1043865.6457331085
2020-03-25,1044541.4015125987
2020-03-26,1044861.4963555152
2020-03-27,1044114.6083887102
2020-03-30,1043616.6830775068
2020-03-31,1043936.7779204233
2020-04-01,1103012.9304872635
2020-04-02,1042351.1008763094
2020-04-03,1043311.3854050587
2020-04-07,1042955.7244684849
2020-04-08,1042813.4600938554
2020-04-09,1042991.2905621423
2020-04-10,1042279.9686889946
2020-04-13,1043240.253217744
2020-04-14,1043275.8193114013
2020-04-15,1042600.0635319111
2020-04-16,1043346.9514987161
2020-04-17,1043702.6124352899
2020-04-20,1045338.6527435294
2020-04-21,1044556.198683067
2020-04-22,1044556.198683067
2020-04-23,1044591.7647767244
2020-04-24,1045516.4832118163
2020-04-27,1045587.6153991311
2020-04-28,1047365.9200820001
2020-04-29,1047045.8252390836
2020-04-30,1046476.7677405656
2020-05-06,1046192.2389913065
2020-05-07,1047116.9574263984
2020-05-08,1047294.7878946853
2020-05-11,1046547.8999278803
2020-05-12,1045978.8424293622
2020-05-13,1044805.1613386687
2020-05-14,1044556.198683067
2020-05-15,1044449.5004020949
2020-05-18,1045018.5579006129
2020-05-19,1045552.0493054737
2020-05-20,1045160.8222752424
2020-05-21,1043453.6497796882
2020-05-22,1084644.0121639562
2020-05-25,1043461.550832122
2020-05-26,1043319.2864574925
2020-05-27,1043568.2491130942
2020-05-28,1043319.2864574925
2020-05-29,1044457.4014545287
2020-06-01,1045275.4216086484
2020-06-02,1045239.855514991
2020-06-03,1045346.5537959632
2020-06-04,1045417.6859832779
2020-06-05,1045524.38426425
2020-06-08,1045702.2147325369
2020-06-09,1045062.0250467041
2020-06-10,1043603.8152067516
2020-06-11,1043283.7203638351
2020-06-12,1042679.0967716597
2020-06-15,1042928.0594272614
2020-06-16,1042785.7950526318
2020-06-17,1092322.882258598
2020-06-18,1092622.2345569679
2020-06-19,1091424.8253634884
2020-06-22,1091125.4730651185
2020-06-23,1049153.570907877
2020-06-24,1049153.570907877
2020-06-29,1049153.570907877
